family	pattern_id	fidelity	canonical_text	text_file	requires	hazard_class	inspiration	twin_of	isolates	notes
wild-validator	uuid-near-miss	synthesized	^[0-9a-fA-F]{8}-[0-9a-fA-F]{4}-[1-5][0-9a-fA-F]{3}-[89abAB][0-9a-fA-F]{3}-[0-9a-fA-F]{12}$	-	-	none	RFC 4122 §4.1.3 (the UUID version/variant nibble constraint); pairs against L1's imported grok UUID pattern named in capability_set_v1.md §3.1 family 1	grok-uuid (L1 import, pattern_id TBD)	the version nibble (must be 1-5) and variant nibble (must be 8-b) constraint RFC 4122 states and a class-heavy hex-range UUID matcher (the grok/OWASP shape) typically does not enforce; a subject with an out-of-range nibble (e.g. version '0') is the near-miss edge	NOT built by removing anything from the wild pattern (blinded from its text per D27) -- an independently authored stricter UUID matcher, held to the same shape a real RFC-4122-aware validator would use. L3 must confirm this actually pairs against whatever L1 imported and rename twin_of once known
wild-validator	base10num-near-miss	synthesized	^-?(?:0|[1-9]\d*)(?:\.\d+)?$	-	-	none	the JSON-number grammar's leading-zero/bare-sign strictness (RFC 8259 §6); pairs against L1's imported grok BASE10NUM pattern named in capability_set_v1.md §3.1 family 1	grok-base10num (L1 import, pattern_id TBD)	leading-zero and bare-sign/bare-dot rejection -- a permissive base-10-number matcher (grok's own shape, built to match loosely inside free log text) typically accepts '00', '01' or a lone '-' where a strict numeric-literal grammar does not	same caveat as uuid-near-miss: independently authored, not derived from the wild text
wild-validator	winpath-near-miss	synthesized	^[A-Za-z]:\\(?:[^<>:"/\\|?*]+\\)*[^<>:"/\\|?*]+$	-	-	none	the Windows API's nine reserved filename characters (< > : " / \ | ? *); pairs against L1's imported grok WINPATH pattern named in capability_set_v1.md §3.1 family 1	grok-winpath (L1 import, pattern_id TBD)	rejection of the nine Windows-reserved filename characters inside a path segment and enforcement of a single-letter A-Z drive prefix -- a permissive class-heavy WINPATH matcher (built to find paths inside free log text) commonly accepts a segment containing one of the reserved characters	same caveat as uuid-near-miss
wild-validator	ipv4-near-miss	synthesized	^(?:(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)\.){3}(?:25[0-5]|2[0-4]\d|1\d\d|[1-9]?\d)$	-	-	none	the classic "\d{1,3} per octet" IPv4 regex gotcha, documented across regex-validator writeups; the family's own stress mechanism, verbatim: "class-heavy, anchored, alternation-of-ranges" (capability_set_v1.md §3.1 family 1)	an OWASP Validation Regex Repository IPv4 entry (L1 import, pattern_id TBD -- family 1's OWASP sources are three unnamed patterns; IPv4 is the canonical class-heavy/anchored shape that description implies, not a confirmed match to L1's actual picks)	per-octet range enforcement (0-255) -- a naive \d{1,3}-per-octet IPv4 matcher (the OWASP repository is documented to contain exactly this shape) wrongly accepts an out-of-range octet such as '999' or '256'; this twin rejects it	WEAKEST-CONFIRMED twin of the four: family 1's OWASP source is "three patterns quoted verbatim" with no named types in capability_set_v1.md, so this is a plausible-shape guess, not a confirmed pairing. L3/manager must reconcile or drop once L1's actual three OWASP patterns are known
wild-logparse	logparse-atomic	synthesized	^(?>(?:kern|user|mail|daemon|auth|syslog|cron)\.(?:emerg|alert|crit|err|warning|notice|info|debug)): (.*)$	-	atomic-group	exponential-backtracking	modeled on grok's own SYSLOGFACILITY-style facility.severity tag matching (the family's cited wild source is grok's log macros, capability_set_v1.md §3.1 family 2); the atomic wrap follows the family's own stress-mechanism text verbatim: "atomic groups the ORIGINAL author added to fight backtracking"	-	-	independently authored (not a derivative of the wild grok pattern's actual text -- blinded per D27). Its purpose is to give family 2 a SECOND, fully-controlled atomic/non-atomic pair beside whatever L1 imports verbatim from grok
wild-logparse	logparse-atomic-removed	synthesized	^(?:(?:kern|user|mail|daemon|auth|syslog|cron)\.(?:emerg|alert|crit|err|warning|notice|info|debug)): (.*)$	-	-	exponential-backtracking	the family's own designed-member spec verbatim: "the same pattern with the atomic groups REMOVED -- the author's own fix as a control pair" (capability_set_v1.md §3.1 family 2)	logparse-atomic	the (?>...) atomic wrapper's effect on match time and on which engines refuse to compile it at all -- both patterns are byte-identical except for (?> vs (?:, and both are tagged hazard_class exponential-backtracking because the REMOVED form is the one that can actually exhibit the backtracking blowup on a crafted non-matching line; the ATOMIC form is the one demonstrating the defense	this is a SET-LEVEL control pair (two separate authored patterns), not a per-testee §6.3 rewrite variant of one canonical pattern -- §6.3's "not a variant" rule does not apply to this pair
wild-codegrammar	codegrammar-xflag	synthesized	-	patterns/codegrammar-xflag.txt	free-spacing	none	modeled on VS Code's JSON.tmLanguage.json free-spacing token patterns, the family's cited wild source (capability_set_v1.md §3.1 family 6); a small per-token editor-grammar shape (an object key followed by its colon), the family's own stress-mechanism text	-	-	kept genuinely multi-line per Frank's F-Q2 ruling (no flattening; plan.md [B42] restart entry, 2026-09-12) -- this file is the (?x) form, never collapsed to one line
wild-codegrammar	codegrammar-flat	synthesized	"([^"\\]+)"\s*:\s*	-	-	none	the family's own designed-member spec verbatim: "one flattened (?x) twin" (capability_set_v1.md §3.1 family 6)	codegrammar-xflag	the (?x) free-spacing MECHANISM's own cost (compile and match) and which engines cannot run the multi-line form at all (TRE has no inline-flag syntax per N2 §3) -- both forms match the identical language once whitespace and comments are stripped, so any measured difference is the mechanism, not the logic	the multi-line-vs-flatten QUESTION itself is stated OPEN for Frank at the restart (rxt_needs_v1.md F-Q2, ruled NO flattening for the format) -- this twin remains a valid designed comparison regardless of that ruling, since it compares two SEPARATE set patterns, not a forced rewrite of one
cap-backref	doubled-word	synthesized	\b(\w+)\b\s+\1\b	-	backrefs	none	modeled on the doubled-word idiom used by real prose linters (e.g. Vale, proselint-style checks), a standard backreference use in deployed tooling	-	-	-
cap-backref	tag-pair-match	synthesized	<([a-zA-Z][\w:-]*)(?:\s[^>]*)?>.*?</\1\s*>	-	backrefs	none	modeled on open/close tag matching in simple HTML/template sanitizers and linters, a very common deployed backreference idiom	-	-	-
