pattern_id	family	provenance_source	source_url	source_ref	license	license_note	retrieved	fidelity	adaptation	attribution	twin_of	isolates
ipv4-near-miss	wild-validator	authored			n-a		2026-09-16	synthesized	the classic "\d{1,3} per octet" IPv4 regex gotcha, documented across regex-validator writeups; the family's own stress mechanism, verbatim: "class-heavy, anchored, alternation-of-ranges" (capability_set_v1.md §3.1 family 1)		wild-validator-ipv4-owasp	per-octet range enforcement (0-255) -- a naive \d{1,3}-per-octet IPv4 matcher (the OWASP repository is documented to contain exactly this shape) wrongly accepts an out-of-range octet such as '999' or '256'; this twin rejects it
uuid-near-miss	wild-validator	authored			n-a		2026-09-16	synthesized	RFC 4122 §4.1.3 (the UUID version/variant nibble constraint); pairs against L1's imported grok UUID pattern named in capability_set_v1.md §3.1 family 1		wild-validator-uuid-grok	the version nibble (must be 1-5) and variant nibble (must be 8-b) constraint RFC 4122 states and a class-heavy hex-range UUID matcher (the grok/OWASP shape) typically does not enforce; a subject with an out-of-range nibble (e.g. version '0') is the near-miss edge
wild-validator-email-owasp	wild-validator	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=e-mail]/pattern	CC-BY-SA-4.0		2026-09-16	verbatim		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0		
wild-validator-ipv4-owasp	wild-validator	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=IP]/pattern	CC-BY-SA-4.0		2026-09-16	verbatim		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0		
wild-validator-us-zip-owasp	wild-validator	owasp-validation	https://community.owasp.org/OWASP_Validation_Regex_Repository	regex[name=US_zip]/pattern	CC-BY-SA-4.0		2026-09-16	verbatim		OWASP Validation Regex Repository (community.owasp.org), CC BY-SA 4.0		
wild-validator-uuid-grok	wild-validator	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:19 (UUID)	Apache-2.0		2026-09-16	verbatim				
base10num-near-miss	wild-logparse	authored			n-a		2026-09-16	synthesized	the JSON-number grammar's leading-zero/bare-sign strictness (RFC 8259 §6); pairs against L1's imported grok BASE10NUM pattern named in capability_set_v1.md §3.1 family 1		wild-logparse-base10num-grok	leading-zero and bare-sign/bare-dot rejection -- a permissive base-10-number matcher (grok's own shape, built to match loosely inside free log text) typically accepts '00', '01' or a lone '-' where a strict numeric-literal grammar does not
logparse-atomic	wild-logparse	authored			n-a		2026-09-16	synthesized	modeled on grok's own SYSLOGFACILITY-style facility.severity tag matching (the family's cited wild source is grok's log macros, capability_set_v1.md §3.1 family 2); the atomic wrap follows the family's own stress-mechanism text verbatim: "atomic groups the ORIGINAL author added to fight backtracking"			
logparse-atomic-removed	wild-logparse	authored			n-a		2026-09-16	synthesized	the family's own designed-member spec verbatim: "the same pattern with the atomic groups REMOVED -- the author's own fix as a control pair" (capability_set_v1.md §3.1 family 2)		logparse-atomic	the (?>...) atomic wrapper's effect on match time and on which engines refuse to compile it at all -- both patterns are byte-identical except for (?> vs (?:, and both are tagged hazard_class exponential-backtracking because the REMOVED form is the one that can actually exhibit the backtracking blowup on a crafted non-matching line; the ATOMIC form is the one demonstrating the defense
wild-logparse-base10num-grok	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:6 (BASE10NUM)	Apache-2.0		2026-09-16	verbatim				
wild-logparse-base10num-noatomic	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:6 (BASE10NUM)	Apache-2.0		2026-09-16	adapted	every atomic group (?>...) in the verbatim BASE10NUM rewritten to a plain non-capturing group (?:...), the author's own construct removed and nothing else changed -- the pattern's own performance fix undone, as a control for the fidelity-preserving member			
wild-logparse-quotedstring-grok	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:18 (QUOTEDSTRING)	Apache-2.0		2026-09-16	verbatim				
wild-logparse-quotedstring-noatomic	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:18 (QUOTEDSTRING)	Apache-2.0		2026-09-16	adapted	every atomic group (?>...) in the verbatim QUOTEDSTRING rewritten to a plain non-capturing group (?:...), the author's own construct removed and nothing else changed -- the pattern's own performance fix undone, as a control for the fidelity-preserving member			
wild-logparse-syslogbase-expanded	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:92 (SYSLOGBASE) + its own transitive %{...} macros (SYSLOGTIMESTAMP:81, SYSLOGFACILITY:85, SYSLOGHOST:84/IPORHOST:32/IP:30/IPV6:28/IPV4:29/HOSTNAME:31, SYSLOGPROG:83/PROG:82, MONTH:51, MONTHDAY:54, TIME:65/HOUR:61/MINUTE:62/SECOND:64, NONNEGINT:12, POSINT:11)	Apache-2.0		2026-09-16	adapted	every %{NAME} and %{NAME:label} grok macro reference mechanically substituted, recursively, by the named pattern's own definition in the same file -- unlabelled to a plain non-capturing group (?:...), labelled to a named group (?<label>...), exactly grok's own compile step -- producing one self-contained pattern with no remaining %{...} references			
wild-logparse-winpath-grok	wild-logparse	grok	https://raw.githubusercontent.com/logstash-plugins/logstash-patterns-core/main/patterns/legacy/grok-patterns	grok-patterns:39 (WINPATH)	Apache-2.0		2026-09-16	verbatim				
winpath-near-miss	wild-logparse	authored			n-a		2026-09-16	synthesized	the Windows API's nine reserved filename characters (< > : " / \ | ? *); pairs against L1's imported grok WINPATH pattern named in capability_set_v1.md §3.1 family 1		wild-logparse-winpath-grok	rejection of the nine Windows-reserved filename characters inside a path segment and enforcement of a single-letter A-Z drive prefix -- a permissive class-heavy WINPATH matcher (built to find paths inside free log text) commonly accepts a segment containing one of the reserved characters
wild-waf-crs-942140-dbnames	wild-waf	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942140	Apache-2.0		2026-09-16	verbatim				
wild-waf-crs-942160-sleep-benchmark	wild-waf	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942160	Apache-2.0		2026-09-16	verbatim				
wild-waf-crs-942270-union-select	wild-waf	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942270	Apache-2.0		2026-09-16	verbatim				
wild-waf-crs-942360-concat-sqli	wild-waf	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942360	Apache-2.0		2026-09-16	verbatim				
wild-waf-crs-942500-comment-obfuscation	wild-waf	crs	https://raw.githubusercontent.com/coreruleset/coreruleset/main/rules/REQUEST-942-APPLICATION-ATTACK-SQLI.conf	REQUEST-942-APPLICATION-ATTACK-SQLI.conf#942500	Apache-2.0		2026-09-16	verbatim				
wild-secrets-aws-access-key-id	wild-secrets	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:5	Unlicense		2026-09-16	verbatim				
wild-secrets-github-pat	wild-secrets	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:31	Unlicense		2026-09-16	verbatim				
wild-secrets-slack-webhook-url	wild-secrets	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:86	Unlicense		2026-09-16	verbatim				
wild-secrets-username-password-pair	wild-secrets	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/noseyparker.txt	noseyparker.txt:23	Unlicense		2026-09-16	verbatim				
wild-datetime-datefinder-alternation	wild-datetime	rebar-wild	https://raw.githubusercontent.com/BurntSushi/rebar/master/benchmarks/regexes/wild/date.txt	date.txt (whole file: datefinder's production pattern)	Unlicense		2026-09-16	verbatim				
