# reporter: v24 (2026-09-26); filters: subbench=syntax, version=0.1, until=2026-09-21T14:30:16Z, testee=libpcre2_10.46_interp-caps-simdna, testee=libpcre2_10.46_jit-caps-simdna, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=rust_1.13.1_default-caps-simdna; source: store/index.tsv (7 record(s) matching this query); records: 7; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: syntax@0.1; machines: budu-ryzen1600; schema_versions: 1.5,1.6; grain: subject; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 7; mixed_x13: False; include_provenance: False; worst_other_core_busy: 64.93% (pcrec_25b1984f_vm-caps-simdna / esc-tab / large-subject-throughput); floor_pattern: floor
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict	capture_class
record						syntax@0.1__libpcre2_10.46_interp-caps-simdna__budu-ryzen1600__20260907T003211Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__libpcre2_10.46_jit-caps-simdna__budu-ryzen1600__20260907T012625Z				agreement	agree (0 of 282 groups; 0 of 8256 rows; 9 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260921T072911Z				agreement	agree (0 of 245 groups; 0 of 7168 rows; 11 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260921T080827Z				agreement	agree (0 of 245 groups; 0 of 7168 rows; 11 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260921T084716Z				agreement	agree (0 of 245 groups; 0 of 7168 rows; 11 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260921T093029Z				agreement	agree (0 of 245 groups; 22 of 7168 rows; 11 unjudged; k=1.5, 2/3; 5 trials)							
record						syntax@0.1__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260920T174854Z				agreement	agree (0 of 145 groups; 0 of 4252 rows; 56 unjudged; k=1.5, 2/3; 5 trials)							
baseline	alt-nested	f-aaab	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-aaab	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.645885	5	1.0000	0	0			no
rank	alt-nested	f-aaab	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	2	median_ns	5.903686	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_vm-caps-simdna	measured	pinned	3	median_ns	6.493437	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	4	median_ns	10.535575	5	1.0000	0	0			no
rank	alt-nested	f-aaab	match-compliance	whole-subject	separate artifact	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	median_ns	10.599560	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	match-compliance	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	29.105615	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	match-compliance	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	29.265894	5	1.0000	0	0			yes
baseline	alt-nested	f-aaab	short-subject-search			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-aaab	short-subject-search	plain	same program	pcrec_25b1984f_vm-in-caps-simdna	measured	pinned	1	median_ns	7.382656	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	short-subject-search	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	2	median_ns	7.675849	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	short-subject-search	plain	same program	pcrec_25b1984f_auto-nocaps-simdna	measured	pinned	3	median_ns	7.676850	5	1.0000	0	0			no
rank	alt-nested	f-aaab	short-subject-search	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	8.560091	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	short-subject-search	plain	same program	rust_1.13.1_default-caps-simdna	measured	pinned	5	median_ns	21.039608	5	1.0000	0	0			no
rank	alt-nested	f-aaab	short-subject-search	plain	same program	libpcre2_10.46_interp-caps-simdna	measured	pinned	6	median_ns	32.812911	5	1.0000	0	0			yes
rank	alt-nested	f-aaab	short-subject-search	plain	same program	libpcre2_10.46_jit-caps-simdna	measured	pinned	7	median_ns	36.452150	5	1.0000	0	0			yes
baseline	alt-nested	f-abba	match-compliance			libpcre2_10.46_interp-caps-simdna				baseline_identity	interp					libpcre2_10.46_interp-caps-simdna (interp, present in this group)		
rank	alt-nested	f-abba	match-compliance	whole-subject	separate artifact	rust_1.13.1_default-caps-simdna	measured	pinned	1	median_ns	5.622788	5	1.0000	0	0			no
