# reporter: v22 (2026-09-25); filters: subbench=capability, version=0.1, since=2026-09-22T00:00:00Z, until=2026-09-23T07:00:00Z, testee=pcrec_25b1984f_auto-caps-simdna, testee=pcrec_25b1984f_auto-nocaps-simdna, testee=pcrec_25b1984f_vm-caps-simdna, testee=pcrec_25b1984f_vm-in-caps-simdna, testee=pcrec_8d716693_auto-caps-simdna, testee=pcrec_8d716693_auto-nocaps-simdna, testee=pcrec_8d716693_vm-caps-simdna, testee=pcrec_8d716693_vm-in-caps-simdna, testee=oniguruma_6.9.10_default-caps-simdna, testee=rust_1.13.1_default-caps-simdna, testee=vectorscan_5.4.11_block-nosom-nocaps-simd; source: store/index.tsv (11 record(s) matching this query); records: 11; excluded_invalid: 0; superseded: 0; newer_not_measured: 0; subbench_versions: capability@0.1; machines: budu-ryzen1600; schema_versions: 1.6; grain: set; single_subject_regimes: ; include_unmeasured: False; include_scratch: False; all_records: False; x13_rules: v1.4 X13 (pre-flight + trial agreement) on 11; mixed_x13: False; include_provenance: False; worst_other_core_busy: 62.5% (pcrec_25b1984f_auto-caps-simdna / wild-validator-ipv4-owasp / large-subject-throughput); floor_pattern: floor-byte; null_band: pcrec 25b1984f -> 8d716693: census reports/identity/capability@0.1/pcrec_25b1984f__8d716693.tsv, 143 null of 492 cells, strata ok=2 insufficient=2 empty=2, n_min=10
section	pattern	subject_or_na	regime_or_na	form	fact	testee	status	tier	rank_or_na	metric	value	n	pass_rate	n_gave_up	n_wrong	gave_up_summary	delta_verdict
record						capability@0.1__oniguruma_6.9.10_default-caps-simdna__budu-ryzen1600__20260922T043951Z				agreement	agree (0 of 123 groups; 0 of 4831 rows; 5 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_auto-caps-simdna__budu-ryzen1600__20260922T021127Z				agreement	agree (0 of 124 groups; 6 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_auto-nocaps-simdna__budu-ryzen1600__20260922T024402Z				agreement	agree (0 of 126 groups; 3 of 4912 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_vm-caps-simdna__budu-ryzen1600__20260922T031341Z				agreement	agree (0 of 124 groups; 5 of 4829 rows; 7 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_25b1984f_vm-in-caps-simdna__budu-ryzen1600__20260922T035712Z				agreement	agree (0 of 124 groups; 6 of 4829 rows; 7 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_auto-caps-simdna__budu-ryzen1600__20260923T031941Z				agreement	agree (0 of 124 groups; 6 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_auto-nocaps-simdna__budu-ryzen1600__20260923T035507Z				agreement	agree (0 of 126 groups; 6 of 4912 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_vm-caps-simdna__budu-ryzen1600__20260923T042632Z				agreement	agree (0 of 124 groups; 4 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__pcrec_8d716693_vm-in-caps-simdna__budu-ryzen1600__20260923T050923Z				agreement	agree (0 of 124 groups; 7 of 4834 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__rust_1.13.1_default-caps-simdna__budu-ryzen1600__20260922T051752Z				agreement	agree (0 of 82 groups; 2 of 3194 rows; 4 unjudged; k=1.5, 2/3; 5 trials)						
record						capability@0.1__vectorscan_5.4.11_block-nosom-nocaps-simd__budu-ryzen1600__20260922T053300Z				agreement	agree (0 of 80 groups; 1 of 3118 rows; 2 unjudged; k=1.5, 2/3; 5 trials)						
baseline_yes	balanced-parens-rec	(set)	large-subject-throughput			pcrec_8d716693_auto-caps-simdna				baseline_identity	row-best-fallback					pcrec_8d716693_auto-caps-simdna (row-best fallback -- interp absent from this group)	
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	median_ns	5242464.882353	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	min_ns	5234568.568627	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	max_ns	5250875.098039	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	stddev_ns	6103.933858	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_baseline	1.000000	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_auto-caps-simdna	measured	pinned	1	ratio_vs_best	1.000000	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	median_ns	5251211.780000	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	min_ns	5250112.600000	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	max_ns	5264822.680000	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	stddev_ns	5451.902237	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	ratio_vs_baseline	1.001668	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-caps-simdna	measured	pinned	2	ratio_vs_best	1.001668	3	1.0000	0	0		faster ×1.04
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	median_ns	5257500.720000	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	min_ns	5245664.440000	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	max_ns	5260797.140000	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	stddev_ns	5608.567828	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	ratio_vs_baseline	1.002868	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_8d716693_vm-in-caps-simdna	measured	pinned	3	ratio_vs_best	1.002868	3	1.0000	0	0		faster ×1.05
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	median_ns	5472646.062500	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	min_ns	5468168.958333	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	max_ns	5479109.625000	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	stddev_ns	3914.858372	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	ratio_vs_baseline	1.043907	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_vm-caps-simdna	measured	pinned	4	ratio_vs_best	1.043907	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	median_ns	5482899.142857	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	min_ns	5480903.408163	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	max_ns	5499722.265306	3	1.0000	0	0		
rank_yes	balanced-parens-rec	(set)	large-subject-throughput	plain	same program	pcrec_25b1984f_auto-caps-simdna	measured	pinned	5	stddev_ns	8550.546947	3	1.0000	0	0		
