# SOURCE (pcrec-bench, bench/syntax, [B36]): pcrec's `--list-syntax` construct REGISTRY, the SEED
# this sub-bench enumerates constructs from. Copied VERBATIM below this block (every byte after
# the line `# --- verbatim from here ---` is pcrec's file, unchanged) from
#   ~/pcrec  origin/main : docs/measurements/list_syntax_9a1583ba.tsv
#   pcrec commit 9a1583ba (abi 23; the [B39] pin d34c9131 differs from it only by this seed file itself), generated 2026-09-06 by `build/pcrec --list-syntax` at that
#   commit on pcrec's Mac M1 box (gcc-16); landed for pcrec-bench per inbox I-52 (the RE-SEED at the [B39] pin advance; the first seed was I-49's list_syntax_334fd10e.tsv at abi 22 -- exactly ONE row differs: the esc `\x` row's DESCRIPTION, de-staled; no status/module/built column moved; the I-42 charter's
#   "registry seed on request"). Read here with `git -C ~/pcrec show origin/main:<path>`.
# WHAT IT IS USED FOR, AND WHAT IT IS NOT. `gen_patterns.py` reads ONLY the `kind`, `syntax`,
# `status` and `family` columns, to ENUMERATE the constructs a PCRE2 pattern can spell and to
# derive `coverage.tsv` (which pattern exercises which row). Nothing in the patterns, subjects,
# expectations or the sidecar is shaped by `module`, `engines`, `built` or any other engine-side
# column (requirements R-BENCH-4, engine neutrality): a row this registry calls `unbuilt` gets a
# pattern like any other, and whichever engine refuses it records a first-class `did-not-compile`
# outcome, decided by libpcre2 for the oracle and by each adapter at run time for the rest. The
# `rejected` rows are constructs PCRE2 itself refuses, for which the oracle can state no
# expectation; they are listed in coverage.tsv as `pcre2-rejects` and carry no pattern.
# RE-SEEDING: pcrec's rows move (at abi 23 utf8 and `\x{...}` moved to the base grammar); the
# generator takes any seed with these columns (`--seed PATH`), and a new row with no pattern and no
# stated reason FAILS `gen_patterns.py --check` by name -- the census widens deliberately.
# --- verbatim from here ---
# --list-syntax seed for pcrec-bench ([B36] re-seed at the [B39] pin advance), generated at pin 9a1583ba (abi 23)
# date: 2026-09-06 | box: Mac M1 (gcc-16) | generator: build/pcrec --list-syntax at that commit
# pcrec syntax construct registry (D24). Empty field = none.
# `syntax` is a valid probe pattern for the construct.
# `expect` is the text the diagnostic must contain, for the rows that reject.
# `built` (D65): has the owning module's producer landed for THIS construct, derived live by driving `syntax` through a gate-forced-open doorway call — 'built'/'unbuilt' for RS_MODULE rows, '-' where the question does not arise (RS_BASE/RS_REJECTED). Orthogonal to `status`/`roadmap`, which stay PCRE2/base-grammar facts.
# `family` (D71 item 3): the CANONICAL SYNTAX of the family this row is a spelling of, empty when the row is its own family. Members of a family are the rows sharing a key, where a row's key is its `family` if it has one and its own `syntax` otherwise; `--list-families` prints one line per family with `built` ANDed across the members. Grouping is an INDEX-layer fact and never dispatch: a row's dispatch identity is unchanged (R6).
#kind	selector	syntax	module	feature	flavours	engines	status	diag	flags	expect	note	roadmap	quantifiable	class_expect	built	family
esc	d	\d	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any decimal digit	planned	yes	set 10	built	
esc	D	\D	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character that is not a decimal digit	planned	yes	set 246	built	
esc	s	\s	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any whitespace character	planned	yes	set 6	built	
esc	S	\S	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character that is not whitespace	planned	yes	set 250	built	
esc	w	\w	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any word character (letter, digit or underscore)	planned	yes	set 63	built	
esc	W	\W	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character that is not a word character	planned	yes	set 193	built	
esc	h	\h	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any horizontal whitespace character	planned	yes	set 3	built	
esc	H	\H	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character that is not horizontal whitespace	planned	yes	set 253	built	
esc	v	\v	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any vertical whitespace character (NOT vertical tab; python re disagrees)	planned	yes	set 5	built	
esc	V	\V	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character that is not vertical whitespace	planned	yes	set 251	built	
esc	N	\N	classes	0x0001	pcre2	dfa|vm	module	module		requires module 'classes'	any character except newline (PCRE2 forbids it inside a class)	planned	yes	err 171	built	
esc	N	\N{name}		0x0000	pcre2		rejected	fixed		PCRE2 does not support \F, \L, \l, \N{name}, \U, or \u	\N{name} — PCRE2 states it does not support this Perl construct	never	no	err 137	-	
esc	N	\N{U+0041}	unicode-props	0x0008	pcre2	dfa|vm	module	module		requires module 'unicode-props'	a Unicode code point by number — PCRE2 error 193 outside UTF mode, which is recognition, not rejection	planned	no	err 193	unbuilt	
esc	b	\b	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	word boundary — but inside a class it is BASE syntax: backspace (0x08)	planned	no	char 0x08	built	
esc	B	\B	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	not a word boundary	planned	no	err 107	built	
esc	A	\A	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	start of subject	planned	no	err 107	built	
esc	Z	\Z	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	end of subject, or before a final newline	planned	no	err 107	built	
esc	z	\z	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	end of subject	planned	no	err 107	built	
esc	G	\G	assertions	0x0002	pcre2	dfa|vm	module	module		requires module 'assertions'	first matching position in the subject	planned	no	err 107	built	
esc	K	\K	assertions	0x0002	pcre2	vm	module	module		requires module 'assertions'	reset the reported start of the match	planned	no	err 107	built	
esc	k	\k<name>	backrefs	0x0004	pcre2	vm	module	module		requires module 'backrefs'	backreference by name: \k<n> \k'n' \k{n} — literal 'k' inside a class	planned	no	set 7	built	
esc	g	\g{-1}	backrefs	0x0004	pcre2	vm	module	module		requires module 'backrefs'	backreference by number or relative position: \g1 \g{-1} \g{name} — literal 'g' inside a class	planned	no	err 108	built	
esc	g	\g<1>	recursion	0x2000	pcre2	vm	module	module		requires module 'recursion'	subroutine call into a group by number or name: \g<1> \g<name> — NOT a backreference (it re-runs the group's pattern)	planned	yes	set 4	built	
esc	g	\g'1'	recursion	0x2000	pcre2	vm	module	module		requires module 'recursion'	subroutine call into a group, quoted spelling: \g'1' \g'name' — NOT a backreference	planned	yes	set 3	built	
esc	g	\g<0>	recursion	0x2000	pcre2	vm	module	module		requires module 'recursion'	subroutine call to the WHOLE PATTERN, angle-bracket spelling -- \g<0> and \g<00> are the root, \g<01> is group 1	planned	yes	set 4	built	\g<1>
esc	g	\g<01>	recursion	0x2000	pcre2	vm	module	module		requires module 'recursion'	subroutine call into group 1, LEADING-ZERO angle-bracket spelling -- the whole digit run is read as decimal	planned	yes	set 5	built	\g<1>
