id	len	sha256	description	periodic
f-cat	3	77af778b51abd4a3c51c5ddd97204a9c3ae614ebccb75a606c3b6865aed6744e	field/hit `cat`: the plain word every class, group, alternation and modifier body is built on	no
f-cat-uc	3	15b89a569474240a616f9a94dd045b2711d445dde955b62bf4b8f2a2afaf0f6b	field/edge `CAT`: `(?i)cat`'s hit; `(?i)c(?^)at`'s and `(?i)c(?-i)at`'s designed MISS (the reset re-cases `at`)	no
f-cat-mixed	3	48735c4fae42d1501164976afec76730b9e5fe467f680bdd8daff4bb77674045	field/edge `Cat`: the option-reset shapes' hit -- caseless `c`, exact `at`	no
f-concat	11	0afe756cd1e815034cfaf42660ea13c6eec402a3b9c4359838ed90dfb89ad2c3	field/edge `concatenate`: `\Bcat\B`'s hit and `\bcat\b`'s designed miss (the word is inside a longer one)	no
f-abc	3	ba7816bf8f01cfea414140de5dae2223b00361a396177a9cb410ff61f20015ad	field/edge `abc`: `(?>a|ab)c` FAILS on it (the atomic group commits to `a`), `(?:ab)+` takes its first two bytes	no
f-ac	2	f45de51cdef30991551e41e882dd7b5404799648a0a00753f44fc966e6153fc1	field/hit `ac`: `(?>a|ab)c`'s whole-string hit -- the atomic alternation's first branch, then `c`	no
f-abba	4	e22115b5d76640e2389bcac25c46a2df03b2df657c5b3ff32cbaed141f8e8ef0	field/hit `abba`: `(\w)(\w)\2\1`'s whole-string hit	3
f-aaab	4	85e90f7f0e71079806469831895acd620133bbe0937cc5403562968bbc7d8d1e	field/edge `aaab`: `a+b`, `a+ab`, `(?>a+)b`, `a*+b`, `a{1,2}+b`, `a+(*SKIP)b` hit it; `a++ab` cannot (the possessive plus keeps the last `a`)	no
f-item	4	4a33eacd5fa65f2b2e2871cd131286b53c415b131666d71173bb6e3fe59361b3	field/hit `item`: `item(?! done)`'s and `item(*ACCEPT)done`'s whole-string hit	no
f-done	4	a4c3ed04a95a3da14a9d235c83d868bed7c0f45cf7f3faa751ee8f50598d2211	field/hit `done`: `done$`, `done\Z`, `done\z` and `(?m)done$` whole-string hit (the lookbehind shapes cannot hit whole: nothing precedes offset 0)	no
f-item-done	9	964588ee949d35bb04fe37412e09989cc5c9e3faf06036dc3e5b81cd40dd9f68	field/hit `item done`: the lookaround, `(?s)`, `\040` and `$`/`\Z`/`\z` bodies' hit with NO trailing newline	no
f-item-done-nl	10	f0381e00be19ed4da976d5eac9155512d265bd1a654df9f8baad938489e9af8a	field/edge `item done\n`: `done$` and `done\Z` match before the final newline, `done\z` does not	no
f-item-nl-done	9	adcf7e11a78d96adbda92ef598e9ee60bbe4488eae7f41f185f574952059589b	field/edge `item\ndone`: `item\ndone`, `\R`, `\v+`, `(?s)item.done` hit; `(?m)^` and `(?m)$` fire at the internal newline; `it\Nm`'s companion	no
f-item-crlf-done	10	883e2ab20e1d34a1df1da0cbe95fa6ac3eb13730dfadaa9122b7385929349ae7	field/edge `item\r\ndone`: `\R` matches the pair as one newline, `\v+` as two bytes, `item\ndone` not at all	no
f-num	2	73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049	field/hit `42`: `\d+`'s whole-string hit	no
f-date	10	d4a3beeb32e4feac58120f3797b60b5dc445127a6c74048cbe8d8c310e1d8bd3	field/hit `2026-09-05`: the subroutine-call shapes (`(\d{2})\g<1>`, `(?+1)(\d{2})`, `(\d{2})(?-1)`, `(?P>d)`) hit its first four digits under search and none of it whole	no
f-time	5	a5c8d54c25064f11498a937f38591eba85a3e67cccc102e6c4f76bbf5377cc37	field/hit `12:34`: the `(?(DEFINE)...)` shape's whole-string hit	no
f-year	4	158a323a7ba44870f23d96f1516dd70aa48e9a72db4ebb026b0a89e212a208ab	field/hit `2026`: the four subroutine-call spellings' whole-string hit (two digits, then the group called again)	no
f-ident	8	9179700c0a66f2fb31695d4f3f8d560d6d4c3f4952f578b3cfa011f59b605596	field/hit `foo_bar9`: `\w+` whole, `[[:alpha:]]+` and `\p{L}+` only a prefix	no
f-kv	9	563f0357118d05ef145d6bddf2966cc23e86ca8f2f013f915e565afdf09f7a23	field/hit `key=value`: `key\h*=\h*value` and `key=\K\w+` (reported span 4-9)	no
f-kv-tab	9	32c178e88d24d35cbb5c7bad32736c567c4844afa002cd6aad9f8b7ad697c96e	field/hit `key\tvalue`: the `\t` escape's whole-string hit	no
f-dup	7	9324c764e9cd717efd7c30d439dc0ce9cf7ecff6b6b00a67eb24676ba3bc34ba	field/hit `the the`: the numbered, relative, python-style and `(?J)` backreference shapes' whole-string hit	4
f-tag	11	38f3db304b86ad89f080eb9ac60d87ac38a51e83cb56b1d9f40f0c96f2bc80f7	field/hit `<b>bold</b>`: the named backreference's whole-string hit	no
