pattern_id	family	provenance_source	source_url	source_ref	license	retrieved	fidelity	adaptation	attribution
cls-boundary-range	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-boundary-range -- a range SPANNING the 1-byte/multi-byte boundary	
cls-high-range	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-high-range -- a wholly-multi-byte range crossing the 2-byte/3-byte width boundary at U+0800	
cls-neg-single	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-neg-single -- negation of ONE non-ASCII character; complement within [0, 0x10FFFF]	
cls-neg-allhigh	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-neg-allhigh -- the negation whose complement is exactly ASCII	
cls-mixed	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-mixed -- ASCII + Latin-1 Supplement + Cyrillic in one class	
cls-dot	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-dot -- '.' is ONE CHARACTER, not one byte	
cls-dot-rep	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-dot-rep -- the sharpest encoded-length witness	
cls-w-ascii	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-w-ascii -- \w WITHOUT UCP: ASCII-scoped	
cls-w-ucp	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-w-ucp -- the UCP twin of cls-w-ascii	
cls-d-ascii	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-d-ascii -- designed NEAR-MISS against four Arabic-Indic digits	
cls-d-ucp	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-d-ucp -- the UCP twin of cls-d-ascii: the SAME digits become a HIT	
cls-s-nbsp	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-s-nbsp -- designed NEAR-MISS against a U+00A0 b	
cls-s-ucp	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-s-ucp -- the UCP twin of cls-s-nbsp: the SAME subject becomes a HIT	
cls-posix-alpha	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-posix-alpha -- the POSIX-class spelling of the same scope question	
cls-lead-pair	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-lead-pair -- a TWO-lead-byte class (0xCE, 0xCF); memchr cannot filter it	
cls-neg-cjk	cls	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(cls): cls-neg-cjk -- a negated 3-byte range, mostly FAILING over the cjk corpus	
lit-1ch-2b	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-1ch-2b -- one 2-byte character (C3 A9)	
lit-1ch-3b	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-1ch-3b -- one 3-byte character (E6 97 A5)	
lit-1ch-4b	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-1ch-4b -- one 4-byte character (F0 9F 98 80)	
lit-run-3	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-run-3 -- a 9-byte run of 3-byte characters; every necessary byte is HIGH	
lit-mixed-ascii	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-mixed-ascii -- mixed widths with an ASCII @ and . available as the necessary byte -- the CONTROL for lit-run-3	
lit-cyr-run	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-cyr-run -- a 12-byte run whose every lead byte is 0xD0 or 0xD1	
lit-offset-at-tail	lit	authored			n-a	2026-09-25	synthesized	utf8_set_v1.md 5(lit): lit-offset-at-tail -- THE FIRST CUSTOMER: FP 3.1's live offset-skip witness	
