# testees/pcrec/list_axes.tsv -- the pcrec optimization-axis REGISTRY at the
# pin, archived VERBATIM (pcrec D35: stable name, verbatim output, a source
# header). Everything below this header is the unmodified output of:
#
#     build/pcrec-d34c9131/build/pcrec --list-axes
#
# pcrec commit d34c91311ba27968bf2ff5ebfd9d6bebe5639f2f (abi 23), archived by
# testees/pcrec/pin.sh on 2026-09-06 (PIN.tsv); captured 2026-09-06 by the
# manager ([B39], the eleventh session). 76 data rows / 26 axes / 12 columns
# -- the FOURTH registry surface (pcrec docs/spec/registry.md 6, [CHK-2]).
# The diff from the 334fd10e copy (74 / 25, [B37]) is ONE NEW AXIS of two
# rows and nothing else -- no column change, no existing row's text moved,
# no renumbering -- EXACTLY as the b39prep lane PREDICTED from the source
# diff (axes_dump.c's only change), across ONE abi step (22 -> 23):
#
#   - `cls-fold` ([FORM-CHAR] STEP 1, pcrec abi 23), appended after
#     `alt-island` as the registry's last axis, stamped through
#     RX_VM_CLS_FOLDS (a COUNT, so neither row carries a stamp_value):
#     order 1 `fold` (kind `predicate`, deny PCREC_NO_CLS_FOLD / bit 24 /
#     `-fno-cls-fold`: "per VM pool class: the set is exactly an ASCII fold
#     pair (two members differing only in bit 0x20, both letters ...)") and
#     order 2 `denied` (the fallback -- "the class keeps its
#     singleton/range/bitmap shape"). VM route only (tuning.md 2.22).
#
# The pin ADVANCED from the prep's 37f5ae02 to d34c9131 on Frank's ruling
# (inbox I-52): the delta is test/doc/check repairs, the K51/K52 filings
# and one `--list-syntax` description -- nothing here moved by it.
#
# WHAT IS NOT HERE, and it is the registry's own statement rather than an
# omission of this archive: abi 17's `RX_DFA_UNIFORM_FOLDS` ([CC-DIFF]
# STEP 1, a fold COUNT the emitter discovers, not a selection), abi 19/21's
# scan-edge dispatch ([OPT-EDGE] STEP 1/1.1 -- the SAME `scan-edge` /
# `scan-body` axes, emitted differently; no new candidate), abi 20's .rxt
# composition (no artifact stamp) and abi 22's `--vm-entry-shape`
# ([CC-DIFF] STEP 2 / [OPT-DIAL] STEP 0: an ORDINAL option, tuning.md
# 2.21 -- "not a bit in pcrec_options.flags", so no deny row; its two
# stamps RX_VM_ENTRY_SHAPE / RX_VM_PROGRAM_BYTES are match_api.md 6.3
# family (b), and its size term VM_INLINE_CHAIN_MAX_BYTES lives in
# --list-limits, not here). The adapter declares `vm_entry_shape`'s four
# tokens from match_api.md 6.3's closed enum for that reason, with no
# registry row to check them against.
# `--list-definitions` is BYTE-IDENTICAL to its 334fd10e copy below its own
# header (MEASURED at this re-pin, the sixth pin running); `--list-limits`
# gained ONE row and four re-worded ones (its header says which).
# pcrec optimization-axis registry (docs/spec/registry.md, the FOURTH
# TSV surface; [CHK-2] piece 1). One row per (axis, candidate), in
# PREFERENCE order within the axis (order 1 is tried first).
#
# kind: "list" — a real candidate-list-of-objects exists in
#   src/gen/emit_dfa.c and this row's name/deny came straight off it.
#   "both" — axis F (scan direction): not a preference list, both
#   candidates are ALWAYS emitted, once each, per machine.
#   "predicate" — no candidate-list-as-data exists yet for this axis
#   ([ENG-FORM] relayered emit_dfa.c only); name/deny are hand-stated
#   from lib/pcrec.h's own enum symbols and docs/spec/tuning.md's
#   prose. See this file's (src/parse/axes_dump.c) own header comment
#   for the full boundary this dump does and does not prove.
#
# stamp_macro/stamp_value: the emitted #define this candidate is
# reported through and the value it takes when chosen — empty when no
# such macro exists (axes C/D/E/F; the activity-count axes, whose
# stamp is a NUMBER rather than a named value).
# deny_macro/deny_bit, force_macro/force_bit: the PCREC_NO_*/
# PCREC_FORCE_* bit (lib/pcrec.h) that removes/forces this candidate,
# empty when none exists — axis B's own missing deny flag is a named
# finding (docs/design/emitter_form.md §3), not an omission here.
# cli_flag: the -f/-fno-/--engine= spelling, empty for a candidate
# reached only as a fallback.
#axis	order	candidate	kind	stamp_macro	stamp_value	deny_macro	deny_bit	force_macro	force_bit	cli_flag	applies
table	1	premultiplied	list	RX_DFA_TABLE	premultiplied	PCREC_NO_PREMUL_TABLE	15			-fno-premul-table	this machine's states*classes <= 65535 and no emitted seed cell is negative
table	2	indexed	list	RX_DFA_TABLE	indexed						always (fallback)
table	3	none	predicate	RX_DFA_TABLE	none						the artifact has no DFA scan-table at all: a proven-empty engine (dfa_engine_is_empty), or the ENG_ATTEMPT label-dispatch engine, which is asked first (src/gen/CLAUDE.md's [DD-13c] #5)
table	4	mixed	predicate	RX_DFA_TABLE	mixed						the artifact's own machines took DIFFERENT per-machine table representations (dfa_table_name(): forward vs. reverse, and since [ENG-ABS] the anchored machine, disagree) — a per-artifact composition, never a single machine's own selection
prefilter	1	offset-set-bounded	list	RX_DFA_PREFILTER	offset-set-bounded	PCREC_NO_OFFSET_SKIP	16			-fno-offset-skip	forward scan, an offset-k candidate SET was selected, under a $/\Z/\z view or a word-context accept ([OPT-K])
prefilter	2	offset-set	list	RX_DFA_PREFILTER	offset-set	PCREC_NO_OFFSET_SKIP	16			-fno-offset-skip	forward scan, an offset-k candidate SET was selected: one memchr at the chosen offset k*, the other offsets verified per candidate ([OPT-K])
prefilter	3	memchr-bounded	list	RX_DFA_PREFILTER	memchr-bounded						forward scan, one candidate byte, under a $/\Z/\z view or a word-context accept
prefilter	4	memchr	list	RX_DFA_PREFILTER	memchr						forward scan, one candidate byte
prefilter	5	byte-class-bounded	list	RX_DFA_PREFILTER	byte-class-bounded						forward scan, several candidate bytes, under a $/\Z/\z view or a word-context accept
prefilter	6	byte-class	list	RX_DFA_PREFILTER	byte-class						forward scan, several candidate bytes
prefilter	7	none	list	RX_DFA_PREFILTER	none						always (fallback) — also the reverse machine, and every case where the start state itself accepts (no skip is sound there)
view	1	end+eol	list								both a \z view and a $/\Z view exist on this machine
view	2	end	list								a \z view exists and no $/\Z view does
view	3	eol	list								a $/\Z view exists and no \z view does
view	4	none	list								always (fallback) — no position view at all
seed	1	seeded	list								mechanism 4: the start state depends on a context byte (\b, (?m)^, ...)
seed	2	constant	list								always (fallback)
accept	1	by-class	list								some state's accept depends on the next byte (\b/(?m)$'s class axis)
accept	2	scalar-viewed	list								a position view exists (D11: recorded AFTER the view selector, never before)
accept	3	scalar-plain	list								always (fallback) — recorded at the top of the loop
direction	1	forward	both								always — finds where a match ENDS
direction	2	reverse	both								always — finds where that match BEGINS
direction	3	anchored	both								always on a DFA artifact that selects the unwrapped match-here form ([ENG-ABS]) — finds where the match beginning at ctx->pos ends
match	1	unwrapped	list	RX_DFA_MATCH	unwrapped	PCREC_NO_ANCHORED_DFA	17			-fno-anchored-dfa	the artifact's own ENG_UNANCH _match, and its anchored machine built inside the DFA caps ([ENG-ABS])
match	2	search-filter	list	RX_DFA_MATCH	search-filter						always (fallback) — ENG_ATTEMPT, the empty engine, an anchored machine over a cap, or the deny flag
scan-edge	1	scan-edge	list			PCREC_NO_SCAN_EDGE	21			-fno-scan-edge	per STATE: src/opt/scanedge.c found a maximal run of states differing only in how many bytes of ONE class have been counted, rooted here, and DELETED the run's interior from the table -- so this state's edge is mandatory, not an accelerator ([OPT-5])
scan-edge	2	table-walk	list								always (fallback) -- this state counts nothing, or the axis is denied and the pass left every state where it was
scan-body	1	range	list	RX_DFA_SCAN_EDGE	range						the edge's class is a CONTIGUOUS byte set: subtract-and-compare against two immediates, no memory touched but the subject ([OPT-5])
scan-body	2	bitmap	list	RX_DFA_SCAN_EDGE	bitmap						always (fallback) -- any other byte set, tested by a 256-byte membership table. The load is VALUE-addressed, not result-addressed, so the cursor is still the only loop-carried register. A per-ISA SIMD run-extension form would sit ABOVE these two ([OPT-SIMD]; ISA-neutral by ruling, scalar forms always the fallback)
scan-body	3	none	predicate	RX_DFA_SCAN_EDGE	none						the artifact carries no scan edge, so there is no body to name: no machine has a collapsible counted run, or the engine is ENG_ATTEMPT (label dispatch, no table walk to shorten) or provably empty -- and it is also what every artifact stamps under -fno-scan-edge, which denies the scan-edge axis above rather than this one
scan-body	4	mixed	predicate	RX_DFA_SCAN_EDGE	mixed						the artifact's own edges took DIFFERENT bodies (dfa_scan_edge_name(): one machine's edge tests a contiguous range, another's reads a membership table) -- a per-artifact composition, never a single edge's own selection
search-start	1	pinned	list	RX_DFA_START	pinned	PCREC_NO_START_PINNED	22			-fno-start-pinned	ENG_UNANCH, a non-empty engine, and the forward machine's start state accepts under the PLAIN view with an accept that is invariant in position and in class context -- and, where mechanism 4 seeds, every live seed state does too. The match then provably begins at search_from and no reverse machine is emitted ([OPT-5] STEP 2)
search-start	2	reverse-pass	list	RX_DFA_START	reverse-pass						always (fallback) -- the backwards scan over the artifact's own reverse machine recovers the match start
possessify	1	possessive	predicate	RX_VM_STRATS	PCREC_VM_STRAT_POSSESSIVE	PCREC_NO_POSSESSIFY	4			-fno-possessify	per A_REP: possessify.c proves the loop's body can never profitably re-enter
possessify	2	backtracking	predicate	RX_VM_STRATS	PCREC_VM_STRAT_BACKTRACKING						always (fallback)
revdet	1	revdet	predicate	RX_VM_RUNGS	PCREC_VM_RUNG_REVDET	PCREC_NO_REVDET	5			-fno-revdet	per A_REP: forward unique-iteration lets the body run backward with no choice points
revdet	2	denied	predicate	RX_VM_RUNGS							always (fallback) — the ladder's next rung (counter, or literal frames)
counter	1	counter	predicate	RX_VM_RUNGS	PCREC_VM_RUNG_COUNTER	PCREC_NO_COUNTER	6			-fno-counter	per A_REP: a bounded repeat, unrolled by --unroll=K (default PCREC_DEFAULT_UNROLL_K), below the replication cap
counter	2	denied	predicate	RX_VM_RUNGS							always (fallback) — literal replication (frames)
size-term	1	option	predicate	RX_UNROLL_K_WHY	option						an explicit --unroll=K on the command line: the term never runs (compile.c: defo.unroll_k > 0 && st_phase == ST_DEFAULT)
size-term	2	denied	predicate	RX_UNROLL_K_WHY	denied	PCREC_NO_SIZE_TERM	18			-fno-size-term	the axis is denied: K stays at --unroll=K or PCREC_DEFAULT_UNROLL_K
size-term	3	default	predicate	RX_UNROLL_K_WHY	default						the counter rung is not live, or the emitted CODE size did not exceed PCREC_SIZE_TERM_THRESHOLD, so the ladder never ran
size-term	4	cap-rescue	predicate	RX_UNROLL_K_WHY	cap-rescue						the ladder ran; the materiality bar declined its argmin K on bytes alone, but an emitted-size cap (--max-emit-bytes/--max-emit-code-bytes) took a smaller K anyway — natural corpus population 0 at the shipped caps (tests/codegen/run_size_term.sh §5/§6), reached only through a lowered-cap reference build
size-term	5	size-model	predicate	RX_UNROLL_K_WHY	size-model						the ladder ran and its argmin K saved at least 25% of the default K's bytes, so the materiality bar took it
size-term	6	capacity-declined	predicate	RX_UNROLL_K_WHY	capacity-declined						the ladder ran; the K it wanted would have lowered this artifact's declared capacity (.frame_capacity or .subject_ceiling, §3.3a) below the default K's, so that rung was excluded before the materiality bar was ever asked — natural corpus population 0 at the shipped threshold (tests/codegen/run_size_term.sh §7/§7b), reached only through a lowered-threshold reference build
size-term	7	size-model-declined	predicate	RX_UNROLL_K_WHY	size-model-declined						always (fallback) — the ladder ran and the materiality bar rejected its argmin K on bytes alone, with no capacity exclusion in play
length-prune	1	clamped	predicate	RX_VM_PRUNES	PCREC_VM_PRUNE_CLAMPED	PCREC_NO_LENGTH_PRUNE	7			-fno-length-prune	per A_REP: a minimum-remaining-length bound is derivable for this quantifier's rung
length-prune	2	unclamped	predicate	RX_VM_PRUNES	PCREC_VM_PRUNE_UNCLAMPED						always (fallback) — no bound derivable, or the axis denied
vm-prefilter	1	hybrid	predicate	RX_VM_PREFILTER	hybrid	PCREC_NO_PREFILTER	8	PCREC_FORCE_PREFILTER	9	-fno-prefilter / -fprefilter	auto+captures selects it jointly with the engine (select_engine.c); -fprefilter REFUSES on a pure-DFA-selected pattern (do-or-die)
vm-prefilter	2	none	predicate	RX_VM_PREFILTER	none						always (fallback) — also the --engine=vm side effect (R21 E-6)
prefilter-lang	1	count-collapsed	predicate	RX_VM_PREFILTER_LANG	count-collapsed	PCREC_NO_PREFILTER_COLLAPSE	19	PCREC_FORCE_PREFILTER_COLLAPSE	20	-fno-prefilter-collapse / -fprefilter-collapse	these machines serve only as the VM's prefilter (the DFA is not the engine), a counted repeat with rmin > 1 or rmax > 1 exists, AND either -fprefilter-collapse was passed or compile_driver took a retry rung (a DFA state cap overflowed, or an emitted-size cap refused the exact artifact). There is no state-count knee: the default is the exact language (Frank's ruling B). Every X{m,n} then lowers as X{min(m,1),}
prefilter-lang	2	exact	predicate	RX_VM_PREFILTER_LANG	exact						always (fallback) — the pattern's own language, which is also what the collapse produces for a pattern that has nothing to collapse
altcls-merge	1	merged	predicate	RX_ALTCLS_MERGES		PCREC_NO_ALTCLS_MERGE	10			-fno-altcls-merge	a maximal run of single-character alternation branches qualifies (runs before either engine is built)
altcls-merge	2	denied	predicate	RX_ALTCLS_MERGES							always (fallback)
altcls-factor	1	factored	predicate	RX_ALTCLS_FACTORED		PCREC_NO_ALTCLS_FACTOR	11			-fno-altcls-factor	a maximal run sharing a literal first byte qualifies, on stage 1's own output
altcls-factor	2	denied	predicate	RX_ALTCLS_FACTORED							always (fallback)
alt-island	1	island	predicate	RX_VM_ALT_ISLANDS		PCREC_NO_ALT_ISLAND	23			-fno-alt-island	per flat alternation on the VM route: the whole subtree's language is a finite set of literal byte strings within the emitter's enumeration budget (a caseless alternation is class-leading by D23 and declines)
alt-island	2	denied	predicate	RX_VM_ALT_ISLANDS							always (fallback) — vm_alt's serial resume chain, one frame per untried branch
cls-fold	1	fold	predicate	RX_VM_CLS_FOLDS		PCREC_NO_CLS_FOLD	24			-fno-cls-fold	per VM pool class: the set is exactly an ASCII fold pair (two members differing only in bit 0x20, both letters — what D23's parse-time caseless folding produces), so the test is one or-mask-and-compare and the 32-byte bitmap is not emitted
cls-fold	2	denied	predicate	RX_VM_CLS_FOLDS							always (fallback) — the class keeps its singleton/range/bitmap shape
atomic-discharge	1	discharged	predicate			PCREC_NO_ATOMIC_DISCHARGE	12			-fno-atomic-discharge	possessify's own verdict proves the A_ATOMIC node's cut is a no-op (docs/design/atomic_groups_design.md §5.3)
atomic-discharge	2	denied	predicate								always (fallback) — ENGINE-SELECTING: the A_ATOMIC node stays, which is DFA-excluding, so RX_ENGINE can move to "vm"
splice-calls	1	spliced	predicate	RX_VM_CALL_SPLICED		PCREC_NO_SPLICE_CALLS	13			-fno-splice-calls	the callee is not in a call-graph cycle and its expansion fits the splice size budget (PCREC_MAX_SPLICE_NODES/_TOTAL)
splice-calls	2	linked	predicate	RX_VM_CALL_LINKED							always (fallback) — ENGINE-SELECTING: a linked call is structurally VM-only
tiered-entry	1	tiered	predicate	RX_FAST_FRAMES		PCREC_NO_TIERED_ENTRY	14			-fno-tiered-entry	the stamped default resume/trail storage does not fit one 4KB page (docs/spec/match_api.md §10.9)
tiered-entry	2	single-tier	predicate	RX_FAST_FRAMES							always (fallback) — FAST_FRAMES==RESUME_FRAMES, FAST_TRAIL==TRAIL_FRAMES
engine	1	vm	predicate	RX_ENGINE	vm					--engine=vm	auto: any construct select_engine.c decides is VM-only (captures, possessive quantifiers, \K, backreferences, calls, ...); forced by --engine=vm (also disables the DFA hybrid prefilter, R21 E-6)
engine	2	dfa	predicate	RX_ENGINE	dfa					--engine=dfa	auto: always, when no construct forces the VM; --engine=dfa REFUSES a pattern needing VM-only machinery (do-or-die)
engine-route	1	forced	predicate	RX_ENGINE_SEL	forced					--engine=vm / --engine=dfa	the caller named the engine, so auto selected nothing
engine-route	2	declined-nullable-default	predicate	RX_ENGINE_SEL	declined-nullable-default						auto (or forced --engine=vm plus -fprefilter), NOTHING overflowed, and the ORDINARY hybrid's own EXACT prefilter language is NULLABLE — it matches the empty string, so the forward+reverse DFA pair would admit a zero-length match at every position and could never dismiss one ([OPT-4.2], the general form of declined-nullable below; pcrec-bench O-10 measured 1.2-9.9x on the analogous collapsed shape). No rung is involved and no prefilter survives. -fprefilter overrides this decline; -fno-prefilter reaches the same artifact by a different door
engine-route	3	collapsed-prefilter	predicate	RX_ENGINE_SEL	collapsed-prefilter						auto, a DFA build overflowed a cap, and compile_driver's retry KEPT a prefilter by rebuilding it from the count-collapsed language ([OPT-4]/K39; -fno-prefilter-collapse skips this rung)
